episode,step,agent_type,mode,state,crash,agent_0_pos,agent_0_action,agent_1_pos,agent_1_action,agent_2_pos,agent_2_action,agent_3_pos,agent_3_action,agent_0_reward,agent_1_reward,agent_2_reward,agent_3_reward
13,1,wolf,pure,"(1, 1, 0, 0)",False,1,1,1,0,0,1,0,0,20.0,-100.5,-100.0,-0.5
14,0,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5
14,1,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,0,0,1,0,0,-0.5,-0.5,0.0,-0.5
14,2,wolf,pure,"(0, 0, 1, 0)",False,0,1,0,1,1,1,0,1,-100.0,-100.0,20.0,-200.0
15,0,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,1,0,1,0,0,-0.5,-100.0,-100.0,-0.5
16,0,wolf,pure,"(0, 0, 0, 0)",False,0,1,0,0,0,1,0,0,-100.0,-0.5,-100.0,-0.5
17,0,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,0,0,1,0,1,-0.5,-0.5,0.0,0.0
17,1,wolf,pure,"(0, 0, 1, 1)",False,0,0,0,0,1,1,1,1,-0.5,-0.5,20.0,20.0
17,2,wolf,pure,"(0, 0, 2, 2)",False,0,0,0,1,2,0,2,1,-0.5,0.0,0.0,0.0
17,3,wolf,pure,"(0, 1, 2, 2)",False,0,0,1,0,2,0,2,1,-0.5,-0.5,0.0,0.0
17,4,wolf,pure,"(0, 1, 2, 2)",False,0,0,1,0,2,1,2,0,-0.5,-0.5,0.0,0.0
17,5,wolf,pure,"(0, 1, 2, 2)",False,0,1,1,1,2,1,2,0,0.0,20.0,0.0,0.0
17,6,wolf,pure,"(1, 2, 2, 2)",False,1,1,2,1,2,1,2,0,20.0,0.0,0.0,0.0
18,0,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,0,0,1,0,0,-0.5,-0.5,0.0,-0.5
18,1,wolf,pure,"(0, 0, 1, 0)",False,0,0,0,1,1,1,0,1,-0.5,-100.0,20.0,-100.0
19,0,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5
19,1,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5
19,2,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,0,0,1,0,0,-0.5,-0.5,0.0,-0.5
19,3,wolf,pure,"(0, 0, 1, 0)",False,0,1,0,1,1,0,0,1,-200.0,-200.0,-200.5,-200.0
20,0,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,0,0,0,0,1,-0.5,-0.5,-0.5,0.0
20,1,wolf,pure,"(0, 0, 0, 1)",False,0,0,0,0,0,1,1,1,-0.5,-0.5,0.0,20.0
20,2,wolf,pure,"(0, 0, 1, 2)",False,0,1,0,0,1,0,2,1,-100.0,-0.5,-100.5,0.0
21,0,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5
21,1,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5
21,2,wolf,pure,"(0, 0, 0, 0)",False,0,1,0,0,0,1,0,0,-100.0,-0.5,-100.0,-0.5
22,0,wolf,pure,"(0, 0, 0, 0)",False,0,1,0,0,0,1,0,0,-100.0,-0.5,-100.0,-0.5
23,0,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,1,0,0,0,0,-0.5,0.0,-0.5,-0.5
23,1,wolf,pure,"(0, 1, 0, 0)",False,0,1,1,0,0,0,0,0,0.0,-0.5,-0.5,-0.5
23,2,wolf,pure,"(1, 1, 0, 0)",False,1,1,1,0,0,0,0,1,20.0,-100.5,-0.5,-100.0
24,0,wolf,pure,"(0, 0, 0, 0)",False,0,1,0,1,0,1,0,0,-100.0,-100.0,-200.0,-0.5
25,0,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,1,0,0,0,0,-0.5,0.0,-0.5,-0.5
25,1,wolf,pure,"(0, 1, 0, 0)",False,0,0,1,0,0,1,0,0,-0.5,-100.5,-100.0,-0.5
26,0,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,0,0,1,0,0,-0.5,-0.5,0.0,-0.5
26,1,wolf,pure,"(0, 0, 1, 0)",False,0,0,0,0,1,0,0,0,-0.5,-0.5,-0.5,-0.5
26,2,wolf,pure,"(0, 0, 1, 0)",False,0,1,0,1,1,0,0,1,-200.0,-200.0,-200.5,-200.0
27,0,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5
27,1,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,0,0,1,0,0,-0.5,-0.5,0.0,-0.5
27,2,wolf,pure,"(0, 0, 1, 0)",False,0,0,0,0,1,1,0,0,-0.5,-0.5,20.0,-0.5
27,3,wolf,pure,"(0, 0, 2, 0)",False,0,0,0,1,2,0,0,0,-0.5,0.0,0.0,-0.5
27,4,wolf,pure,"(0, 1, 2, 0)",False,0,0,1,0,2,1,0,0,-0.5,-0.5,0.0,-0.5
27,5,wolf,pure,"(0, 1, 2, 0)",False,0,0,1,1,2,1,0,1,-0.5,20.0,0.0,0.0
27,6,wolf,pure,"(0, 2, 2, 1)",False,0,1,2,1,2,0,1,0,-100.0,0.0,0.0,-100.5
28,0,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,0,0,0,0,1,-0.5,-0.5,-0.5,0.0
28,1,wolf,pure,"(0, 0, 0, 1)",False,0,0,0,1,0,0,1,1,-0.5,0.0,-0.5,20.0
28,2,wolf,pure,"(0, 1, 0, 2)",False,0,0,1,0,0,1,2,0,-0.5,-100.5,-100.0,0.0
29,0,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,1,0,1,0,0,-0.5,-100.0,-100.0,-0.5
30,0,wolf,pure,"(0, 0, 0, 0)",False,0,1,0,0,0,1,0,0,-100.0,-0.5,-100.0,-0.5
31,0,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5
31,1,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5
31,2,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5
31,3,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,0,0,0,0,1,-0.5,-0.5,-0.5,0.0
31,4,wolf,pure,"(0, 0, 0, 1)",False,0,1,0,0,0,0,1,0,-100.0,-0.5,-0.5,-100.5
32,0,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5
32,1,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5
32,2,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5
32,3,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5
32,4,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5
32,5,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,0,0,0,0,1,-0.5,-0.5,-0.5,0.0
32,6,wolf,pure,"(0, 0, 0, 1)",False,0,1,0,1,0,0,1,1,0.0,0.0,-0.5,20.0
32,7,wolf,pure,"(1, 1, 0, 2)",False,1,0,1,1,0,0,2,0,-0.5,20.0,-0.5,0.0
32,8,wolf,pure,"(1, 2, 0, 2)",False,1,1,2,0,0,1,2,1,20.0,0.0,0.0,0.0
32,9,wolf,pure,"(2, 2, 1, 2)",False,2,0,2,0,1,1,2,1,0.0,0.0,20.0,0.0
33,0,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,1,0,1,0,1,-0.5,-200.0,-100.0,-100.0
34,0,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,0,0,0,0,1,-0.5,-0.5,-0.5,0.0
34,1,wolf,pure,"(0, 0, 0, 1)",False,0,1,0,1,0,0,1,0,-100.0,-100.0,-0.5,-200.5
35,0,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5
35,1,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,1,0,0,0,0,-0.5,0.0,-0.5,-0.5
35,2,wolf,pure,"(0, 1, 0, 0)",False,0,0,1,1,0,0,0,0,-0.5,20.0,-0.5,-0.5
35,3,wolf,pure,"(0, 2, 0, 0)",False,0,1,2,0,0,0,0,0,0.0,0.0,-0.5,-0.5
35,4,wolf,pure,"(1, 2, 0, 0)",False,1,1,2,1,0,1,0,1,20.0,0.0,0.0,0.0
35,5,wolf,pure,"(2, 2, 1, 1)",False,2,1,2,1,1,0,1,1,0.0,0.0,-0.5,20.0
35,6,wolf,pure,"(2, 2, 1, 2)",False,2,0,2,0,1,1,2,0,0.0,0.0,20.0,0.0
36,0,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,0,0,1,0,0,-0.5,-0.5,0.0,-0.5
36,1,wolf,pure,"(0, 0, 1, 0)",False,0,1,0,1,1,1,0,0,0.0,0.0,20.0,-0.5
36,2,wolf,pure,"(1, 1, 2, 0)",False,1,0,1,1,2,0,0,1,-100.5,20.0,0.0,-100.0
37,0,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5
37,1,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5
37,2,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5
37,3,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,1,0,0,0,0,-0.5,0.0,-0.5,-0.5
37,4,wolf,pure,"(0, 1, 0, 0)",False,0,0,1,1,0,0,0,1,-0.5,20.0,-0.5,0.0
37,5,wolf,pure,"(0, 2, 0, 1)",False,0,1,2,0,0,1,1,0,-200.0,0.0,-100.0,-100.5
38,0,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5
38,1,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5
38,2,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5
38,3,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5
38,4,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5
38,5,wolf,pure,"(0, 0, 0, 0)",False,0,1,0,0,0,0,0,0,0.0,-0.5,-0.5,-0.5
38,6,wolf,pure,"(1, 0, 0, 0)",False,1,0,0,1,0,1,0,1,-200.5,-200.0,-200.0,-200.0
39,0,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5
39,1,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5
39,2,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,1,0,0,0,0,-0.5,0.0,-0.5,-0.5
39,3,wolf,pure,"(0, 1, 0, 0)",False,0,0,1,1,0,1,0,1,-0.5,20.0,0.0,0.0
39,4,wolf,pure,"(0, 2, 1, 1)",False,0,0,2,0,1,1,1,1,-0.5,0.0,20.0,20.0
39,5,wolf,pure,"(0, 2, 2, 2)",False,0,1,2,1,2,0,2,1,0.0,0.0,0.0,0.0
39,6,wolf,pure,"(1, 2, 2, 2)",False,1,1,2,1,2,0,2,0,20.0,0.0,0.0,0.0
40,0,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5
40,1,wolf,pure,"(0, 0, 0, 0)",False,0,1,0,0,0,0,0,0,0.0,-0.5,-0.5,-0.5
40,2,wolf,pure,"(1, 0, 0, 0)",False,1,1,0,0,0,0,0,0,20.0,-0.5,-0.5,-0.5
40,3,wolf,pure,"(2, 0, 0, 0)",False,2,1,0,0,0,0,0,0,0.0,-0.5,-0.5,-0.5
40,4,wolf,pure,"(2, 0, 0, 0)",False,2,0,0,0,0,0,0,1,0.0,-0.5,-0.5,0.0
40,5,wolf,pure,"(2, 0, 0, 1)",False,2,0,0,0,0,0,1,0,0.0,-0.5,-0.5,-0.5
40,6,wolf,pure,"(2, 0, 0, 1)",False,2,0,0,0,0,1,1,0,0.0,-0.5,0.0,-0.5
40,7,wolf,pure,"(2, 0, 1, 1)",False,2,0,0,0,1,0,1,1,0.0,-0.5,-0.5,20.0
40,8,wolf,pure,"(2, 0, 1, 2)",False,2,1,0,1,1,0,2,1,0.0,-100.0,-100.5,0.0
41,0,wolf,pure,"(0, 0, 0, 0)",False,0,1,0,0,0,1,0,0,-100.0,-0.5,-100.0,-0.5
42,0,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5
42,1,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,0,0,1,0,0,-0.5,-0.5,0.0,-0.5
42,2,wolf,pure,"(0, 0, 1, 0)",False,0,0,0,0,1,1,0,0,-0.5,-0.5,20.0,-0.5
42,3,wolf,pure,"(0, 0, 2, 0)",False,0,1,0,1,2,1,0,0,0.0,0.0,0.0,-0.5
42,4,wolf,pure,"(1, 1, 2, 0)",False,1,0,1,1,2,0,0,0,-0.5,20.0,0.0,-0.5
42,5,wolf,pure,"(1, 2, 2, 0)",False,1,0,2,1,2,1,0,1,-100.5,0.0,0.0,-100.0
43,0,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5
43,1,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,0,0,1,0,0,-0.5,-0.5,0.0,-0.5
43,2,wolf,pure,"(0, 0, 1, 0)",False,0,1,0,0,1,0,0,0,-100.0,-0.5,-100.5,-0.5
44,0,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,1,0,0,0,0,-0.5,0.0,-0.5,-0.5
44,1,wolf,pure,"(0, 1, 0, 0)",False,0,0,1,0,0,0,0,1,-0.5,-100.5,-0.5,-100.0
45,0,wolf,pure,"(0, 0, 0, 0)",False,0,1,0,0,0,0,0,0,0.0,-0.5,-0.5,-0.5
45,1,wolf,pure,"(1, 0, 0, 0)",False,1,1,0,0,0,0,0,0,20.0,-0.5,-0.5,-0.5
45,2,wolf,pure,"(2, 0, 0, 0)",False,2,0,0,0,0,1,0,0,0.0,-0.5,0.0,-0.5
45,3,wolf,pure,"(2, 0, 1, 0)",False,2,1,0,0,1,0,0,0,0.0,-0.5,-0.5,-0.5
45,4,wolf,pure,"(2, 0, 1, 0)",False,2,0,0,1,1,0,0,0,0.0,-100.0,-100.5,-0.5
46,0,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5
46,1,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5
46,2,wolf,pure,"(0, 0, 0, 0)",False,0,1,0,0,0,0,0,0,0.0,-0.5,-0.5,-0.5
46,3,wolf,pure,"(1, 0, 0, 0)",False,1,1,0,0,0,1,0,1,20.0,-0.5,0.0,0.0
46,4,wolf,pure,"(2, 0, 1, 1)",False,2,0,0,0,1,0,1,1,0.0,-0.5,-0.5,20.0
46,5,wolf,pure,"(2, 0, 1, 2)",False,2,0,0,0,1,1,2,1,0.0,-0.5,20.0,0.0
46,6,wolf,pure,"(2, 0, 2, 2)",False,2,1,0,1,2,0,2,0,0.0,0.0,0.0,0.0
46,7,wolf,pure,"(2, 1, 2, 2)",False,2,0,1,1,2,1,2,0,0.0,20.0,0.0,0.0
47,0,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5
47,1,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5
47,2,wolf,pure,"(0, 0, 0, 0)",False,0,1,0,1,0,0,0,1,-100.0,-100.0,-0.5,-200.0
48,0,wolf,pure,"(0, 0, 0, 0)",False,0,1,0,1,0,0,0,0,0.0,0.0,-0.5,-0.5
48,1,wolf,pure,"(1, 1, 0, 0)",False,1,1,1,1,0,0,0,1,20.0,20.0,-0.5,0.0
48,2,wolf,pure,"(2, 2, 0, 1)",False,2,0,2,0,0,0,1,0,0.0,0.0,-0.5,-0.5
48,3,wolf,pure,"(2, 2, 0, 1)",False,2,0,2,1,0,0,1,0,0.0,0.0,-0.5,-0.5
48,4,wolf,pure,"(2, 2, 0, 1)",False,2,1,2,0,0,1,1,0,0.0,0.0,0.0,-0.5
48,5,wolf,pure,"(2, 2, 1, 1)",False,2,1,2,0,1,0,1,1,0.0,0.0,-0.5,20.0
48,6,wolf,pure,"(2, 2, 1, 2)",False,2,0,2,1,1,1,2,0,0.0,0.0,20.0,0.0
49,0,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,1,0,1,0,0,-0.5,-100.0,-100.0,-0.5
50,0,wolf,pure,"(0, 0, 0, 0)",False,0,1,0,1,0,0,0,1,-100.0,-100.0,-0.5,-200.0
51,0,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5
51,1,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,0,0,1,0,0,-0.5,-0.5,0.0,-0.5
51,2,wolf,pure,"(0, 0, 1, 0)",False,0,1,0,0,1,1,0,0,0.0,-0.5,20.0,-0.5
51,3,wolf,pure,"(1, 0, 2, 0)",False,1,0,0,0,2,1,0,0,-0.5,-0.5,0.0,-0.5
51,4,wolf,pure,"(1, 0, 2, 0)",False,1,0,0,1,2,1,0,0,-0.5,0.0,0.0,-0.5
51,5,wolf,pure,"(1, 1, 2, 0)",False,1,0,1,1,2,0,0,1,-100.5,20.0,0.0,-100.0
52,0,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5
52,1,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,0,0,0,0,1,-0.5,-0.5,-0.5,0.0
52,2,wolf,pure,"(0, 0, 0, 1)",False,0,0,0,0,0,1,1,1,-0.5,-0.5,0.0,20.0
52,3,wolf,pure,"(0, 0, 1, 2)",False,0,1,0,1,1,1,2,0,0.0,0.0,20.0,0.0
52,4,wolf,pure,"(1, 1, 2, 2)",False,1,0,1,0,2,0,2,1,-0.5,-0.5,0.0,0.0
52,5,wolf,pure,"(1, 1, 2, 2)",False,1,1,1,1,2,1,2,0,20.0,20.0,0.0,0.0
53,0,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,0,0,0,0,1,-0.5,-0.5,-0.5,0.0
53,1,wolf,pure,"(0, 0, 0, 1)",False,0,0,0,1,0,1,1,0,-0.5,-200.0,-100.0,-100.5
54,0,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5
54,1,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5
54,2,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,1,0,0,0,0,-0.5,0.0,-0.5,-0.5
54,3,wolf,pure,"(0, 1, 0, 0)",False,0,0,1,1,0,0,0,0,-0.5,20.0,-0.5,-0.5
54,4,wolf,pure,"(0, 2, 0, 0)",False,0,1,2,0,0,1,0,1,-200.0,0.0,-100.0,-100.0
55,0,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5
55,1,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5
55,2,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,1,0,0,0,0,-0.5,0.0,-0.5,-0.5
55,3,wolf,pure,"(0, 1, 0, 0)",False,0,0,1,1,0,0,0,1,-0.5,20.0,-0.5,0.0
55,4,wolf,pure,"(0, 2, 0, 1)",False,0,0,2,1,0,0,1,1,-0.5,0.0,-0.5,20.0
55,5,wolf,pure,"(0, 2, 0, 2)",False,0,1,2,0,0,0,2,0,0.0,0.0,-0.5,0.0
55,6,wolf,pure,"(1, 2, 0, 2)",False,1,0,2,0,0,0,2,1,-0.5,0.0,-0.5,0.0
55,7,wolf,pure,"(1, 2, 0, 2)",False,1,1,2,0,0,1,2,0,20.0,0.0,0.0,0.0
55,8,wolf,pure,"(2, 2, 1, 2)",False,2,0,2,0,1,1,2,0,0.0,0.0,20.0,0.0
56,0,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5
56,1,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,0,0,1,0,0,-0.5,-0.5,0.0,-0.5
56,2,wolf,pure,"(0, 0, 1, 0)",False,0,0,0,0,1,1,0,0,-0.5,-0.5,20.0,-0.5
56,3,wolf,pure,"(0, 0, 2, 0)",False,0,0,0,0,2,0,0,1,-0.5,-0.5,0.0,0.0
56,4,wolf,pure,"(0, 0, 2, 1)",False,0,0,0,1,2,1,1,1,-0.5,0.0,0.0,20.0
56,5,wolf,pure,"(0, 1, 2, 2)",False,0,0,1,1,2,1,2,1,-0.5,20.0,0.0,0.0
56,6,wolf,pure,"(0, 2, 2, 2)",False,0,0,2,0,2,0,2,0,-0.5,0.0,0.0,0.0
56,7,wolf,pure,"(0, 2, 2, 2)",False,0,1,2,0,2,0,2,0,0.0,0.0,0.0,0.0
56,8,wolf,pure,"(1, 2, 2, 2)",False,1,1,2,1,2,0,2,0,20.0,0.0,0.0,0.0
57,0,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5
57,1,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5
57,2,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5
57,3,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5
57,4,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,1,0,0,0,0,-0.5,0.0,-0.5,-0.5
57,5,wolf,pure,"(0, 1, 0, 0)",False,0,0,1,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5
57,6,wolf,pure,"(0, 1, 0, 0)",False,0,0,1,0,0,0,0,1,-0.5,-100.5,-0.5,-100.0
58,0,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,1,0,1,0,0,-0.5,-100.0,-100.0,-0.5
59,0,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,1,0,0,0,0,-0.5,0.0,-0.5,-0.5
59,1,wolf,pure,"(0, 1, 0, 0)",False,0,0,1,1,0,0,0,1,-0.5,20.0,-0.5,0.0
59,2,wolf,pure,"(0, 2, 0, 1)",False,0,1,2,0,0,0,1,1,0.0,0.0,-0.5,20.0
59,3,wolf,pure,"(1, 2, 0, 2)",False,1,0,2,0,0,1,2,1,-100.5,0.0,-100.0,0.0
60,0,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5
60,1,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5
60,2,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5
60,3,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5
60,4,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,0,0,1,0,0,-0.5,-0.5,0.0,-0.5
60,5,wolf,pure,"(0, 0, 1, 0)",False,0,0,0,0,1,0,0,1,-0.5,-0.5,-0.5,0.0
60,6,wolf,pure,"(0, 0, 1, 1)",False,0,1,0,1,1,1,1,1,0.0,0.0,20.0,20.0
60,7,wolf,pure,"(1, 1, 2, 2)",False,1,0,1,1,2,1,2,0,-0.5,20.0,0.0,0.0
60,8,wolf,pure,"(1, 2, 2, 2)",False,1,1,2,0,2,1,2,0,20.0,0.0,0.0,0.0
61,0,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5
61,1,wolf,pure,"(0, 0, 0, 0)",False,0,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5
